From He is Coming Official Wiki
Namespaces
Page
Discussion
More
More
Page actions
Read
View source
History
Contents
1 Scale with base speed
2 Weapons — Base Speed
3 Standard items — Base Speed
4 Cauldron — Base Speed
Scale with base speed
 | Item
 | Battle Start: If you have more speed than the enemy, give them 2 riptide
 | Swampland 
 | Mist Armor
 | Heroic 
 | 10
 2
 | Enemy strikes ignore armor
 | Swampland 
 | Petrified Statue
 | Heroic 
 | -2
 | Battle Start: Give the enemy 1 stun for each equipped stone item
 | Swampland 
 | Lightning Elixir
 | Rare 
 |  3
 4
 | Battle Start: Stun yourself for 2 turns
 | Swampland
 | Lightspeed Elixir
 | Common 
 | 1
 | Battle Start: Gain max health equal to your speed and then restore health equal to your speed
 | Swampland
 | Boots of Sloth
 | Cursed 
 | 10
 | You lose more time per step
 | Swampland
Cauldron — Base Speed
 | Item
 | Ingredient 1
 | Ingredient 2
 | Stats
 | Effect
 | Combustible Lemon
 | Cherry Bomb
 | Sour Lemon
 | 3
 | Turn Start: Spend 1 speed to deal 2 damage
 | Lemontree Branch
 | Grilling Skewer
 | Sour Lemon
 |  2
 4
 | On Hit: Spend 2 speed and gain 1 additional strike on your next turn
 | Lemon Syrup
 | Sour Lemon
 | Honeycomb
 | 3
 | Battle Start: Double your speed
 | Melon Lemonade
 | Clearspring Watermelon
 | Sour Lemon
 | 3
 | Battle Start, Exposed & Wounded: Remove all Acid
 | Lemon Shark
 | Silverscale Fish
 | Sour Lemon
 | 3
 | Battle Start: Gain 1 Acid Exposed: Give the enemy riptide equal to your acid
 | Lemon Roast
 | Sour Lemon
 | Redwood Roast
 |  5
 5
 | Battle Start: Gain 2 acid
 | Limestone Fruit
 | Sour Lemon
 | Stone Steak
 | 3
 | Battle Start: Gain 8 armor. If your health is not full, gain 2 acid
 | Spiny Kiwifruit
 | Spiny Chestnut
 | Sour Lemon
 | 3
 | Battle Start: Gain 3 acid and gain thorns equal to acid
 | Poisonous Lemon
 | Poisonous Mushroom
 | Sour Lemon
 |  3
 4
 | Battle Start: Gain 1 acid and 5 poison
